ViralActivityLevel,WeeklyDeaths
16.86,11677
23.6,15125
23.38,19078
19.46,21335
13.78,20966
9.27,18756
5.93,15317
3.94,11566
2.56,8290
1.74,6041
1.47,4404
1.2,3126
1.26,2505
1.23,1908
1.58,1552
2.1,1410
3.2,1345
3.88,1426
4.93,1433
5.83,1676
6.69,1742
7.18,1940
7.19,2007
6.82,2139
6.65,2194
7.13,2329
7.88,2420
9.28,2588
8.91,2929
9.54,3226
8.86,3401
7.92,3372
7.21,3284
6.77,3166
6.56,3050
5.85,2926
5.54,2808
5.14,2513
4.58,2546
3.68,2377
3.43,2194
3.36,2147
3.43,2198
4.02,2242
4.08,2248
4.17,2201
4.61,2256
5.38,2497
8.59,2592
8.56,3036
9.1,3187
9.51,3319
10.91,3659
8.27,3870
5.97,3688
5.7,3257
5.79,2914
6.2,2643
6.07,2347
6.27,2101
5.8,2153
5.14,1998
4.43,1847
4.7,1761
4.37,1668
3.45,1449
2.89,1373
2.8,1217
2.15,1196
1.89,1027
2.06,945
1.95,838
1.69,757
1.57,742
1.29,693
1.14,633
1.16,612
1.2,583
1.36,542
1.62,492
1.84,510
2.1,540
2.66,553
3.23,672
3.92,752
4.32,921
4.83,1067
5.65,1188
6.24,1313
5.53,1410
5.35,1416
5.05,1456
4.52,1398
3.83,1315
3.95,1392
4.06,1291
4.29,1246
4.8,1392
5.24,1431
5.95,1423
7.5,1731
8.6,1792
9.77,1844
11.37,1935
13.37,2229
12.78,2490
10.3,2577
8.34,2360
8.11,2129
7.02,1737
6.9,1609
6.51,1385
5.88,1318
4.97,1262
4.12,1096
2.99,1035
2.53,840
2.44,733
2.1,626
1.84,560
1.54,490
1.39,424
1.36,419
1.4,330
1.56,332
1.69,338
1.93,319
2.19,302
2.45,353
3.02,405
3.94,390
4.66,435
5.98,457
6.48,517
7.18,511
9.01,340
